ID #,Date In,ST,TT,Wheel,Color,ColorName,Brand,Model,Quality,Condition,Status,DateOut,Value,Remarks,,,
122,02/19/11,25,,630,0000FF,Blue,Schwinn,Traveler III,C,C,,,,,,,
124,02/19/11,19,,630,0000FF,Blue,Free Spirit,Response,C,D,,,,,,,
132,02/19/11,22,,630,0000FF,Blue,Huffy,Omni 10,D,B,Scrap,04/04/11,,,,,
135,02/19/11,18,,,0000FF,Blue,ROG,Pony,C,D,As-is,07/10/13,,,,,
138,02/19/14,24,,559,0000FF,Blue,GS,Zebrakenko,B,C,,,,,,,
140,02/19/11,21,,630,0000FF,Blue,AMF,Scorcher,C,C,,,,Computer,,,
155,02/26/11,24,,622,0000FF,Blue,Fuji,Team Fuji,A,B,,,,Triathlon Bar,,,
156,02/26/11,20,,590,0000FF,Blue,Sears (Austria),,C,D,,,,Torpedo 3-Speed Coaster Hub,,,
157,02/26/11,21,,630,0000FF,Blue,Schwinn,Continental,C,C,,,,,,,
166,02/26/11,19,,590,0000FF,Blue,Schwinn,Traveler,C,C,,,,,,,
184,03/14/11,0,,,0000FF,Blue,Free Spirit,,,,Scrap,04/04/11,,,,,
203,03/16/11,16,,559,0000FF,Blue,Mongoose,Surge,,,,,,,,,
208,03/21/11,0,,590,0000FF,Blue,Columbia,Prestige,C,C,Earn a Bike,09/08/11,,,,,
209,03/21/11,22,,590,0000FF,Blue,Starlite,,B,C,As-is,07/10/13,,,,,
211,03/21/11,20,,559,0000FF,Blue,Huffy,Santa Fe,D,C,Buildathon,07/10/13,,Missing Rear Wheel,,,
220,03/31/11,0,,559,0000FF,Blue,Mongoose,Spark,,,Scrap,07/16/11,,,,,
228,03/31/11,0,,,0000FF,Blue,Rhino,Outreach,,,As-is,07/10/13,,,,,
231,03/31/11,0,,,0000FF,Blue,,,,,As-is,07/10/13,,,,,
236,03/31/11,0,,,0000FF,Blue,Huffy,Tempas,,,Youth,07/14/13,,Positive Spin. Brian to take home,,,
241,03/31/11,17,21,559,0000FF,Blue,Schwinn,,B,A,,,,,,,
